               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.48444,              1.2768,              1.0906,             0.91313,             0.75685,              0.8268,             0.74266,             0.48989,              1.0976,             0.99645,            0.067111,          0.00033221,          0.00033221
                   1,              0.4701,              1.2438,              1.0822,             0.91975,             0.75594,              0.8252,              0.7443,             0.47613,              1.0931,             0.96786,            0.034098,          0.00065237,          0.00065237
                   2,             0.46162,              1.2023,              1.0751,             0.94521,             0.74548,             0.81269,             0.73767,             0.46816,              1.1572,             0.95379,           0.0010712,          0.00095933,          0.00095933
                   3,              0.4431,              1.1824,              1.0586,              0.9427,             0.74607,             0.80829,             0.73914,             0.46509,              1.1218,             0.95988,           0.0009406,           0.0009406,           0.0009406
                   4,             0.44204,              1.1588,               1.057,              0.9492,             0.75798,             0.81555,             0.74616,             0.47125,               1.133,             0.95871,           0.0009406,           0.0009406,           0.0009406
                   5,             0.44413,              1.1698,              1.0638,             0.94374,             0.75786,              0.8144,             0.74324,              0.4679,              1.1127,             0.94858,           0.0009208,           0.0009208,           0.0009208
                   6,             0.43196,              1.1298,              1.0532,             0.94005,             0.75791,              0.8138,             0.73997,             0.49781,              1.1052,             0.98159,            0.000901,            0.000901,            0.000901
                   7,             0.43282,              1.1312,              1.0553,             0.95947,             0.74843,              0.8188,             0.74912,             0.48675,              1.0677,             0.97445,           0.0008812,           0.0008812,           0.0008812
                   8,             0.42879,              1.1116,              1.0481,              0.9586,             0.74536,             0.81807,             0.74898,             0.48209,              1.0742,             0.97355,           0.0008614,           0.0008614,           0.0008614
                   9,             0.42495,              1.1036,              1.0435,              0.9567,             0.74829,             0.81066,             0.73993,             0.48912,              1.1452,             0.98536,           0.0008416,           0.0008416,           0.0008416
                  10,             0.42354,               1.088,              1.0433,             0.95575,             0.75613,             0.82053,             0.75166,             0.47633,               1.092,              0.9815,           0.0008218,           0.0008218,           0.0008218
                  11,             0.42176,              1.0964,              1.0421,             0.95115,             0.75822,             0.81549,             0.74885,              0.4688,              1.0907,             0.96812,            0.000802,            0.000802,            0.000802
